Start-Datum;End-Datum;Name;Turnierart;Ordnungsnummer;Land;Ort;Region;Offener-Turniername;Veranstalter;Kategorie;Meldeschluss;Turnier-Link;Ausschreibung-Link;Ausschreibung-PDF;AK_U9;AK_U11;AK_U13;AK_U15;AK_U17;AK_U19;AK_U22;AK_O19;AK_O35
04.01.2021;04.01.2021;1. C-RLT SAC U13/U19;Rangliste;1;DE;Bergstadthalle Brand-Erbisdorf, Brandsteig 4, 09618 Brand-Erbisdorf;;;SAC;C2-Level;15.12.2020;https://www.turnier.de/sport/tournament?id=D965A019-E9D7-4543-A615-CFB25DEF1897;;ja;;;Einzel/Doppel;;;Einzel/Doppel;;;
05.01.2021;05.01.2021; D-RLT SAC Chemnitz U11/U17;Rangliste;;DE;;Chemnitz;;SAC;D2-Level;22.12.2020;https://www.turnier.de/sport/tournament?id=0B019C8D-7DCB-4EE6-B828-37D3001993F3;http://rvc.bvsachsen.de/ausschreibungen/Ausschreibung_RRL_Nachwuchs_2021.pdf;nein;;Einzel;;;Einzel;;;;
07.01.2021;12.01.2021;PERODUA Malaysia Masters 2021;Rangliste;;MAS;Kuala Lumpur;;;BWF;HSBC BWF World Tour Super 500;;;;nein;;;;;;;;Einzel/Doppel/Mixed;
08.01.2021;12.01.2021;PRESIDENT CUP Nepal Junior International Series 2021;Rangliste;;NEP;Kathmandu;;;BWF;Junior International Series;;;;nein;;;;;;Einzel/Doppel/Mixed;;;
09.01.2021;12.01.2021;YONEX Estonian International 2021;Rangliste;;EST;Tallinn;;;BWF;International Series;;;;nein;;;;;;;;Einzel/Doppel/Mixed;
11.01.2021;12.01.2021;1. C-RLT HES U11-U19;Rangliste;1;DE;Raunheim;;;HES;C1-Level;18.12.2020;https://www.turnier.de/sport/tournament?id=4ADAF538-C443-4F0F-AB20-58EB6700BD99;;ja;;Einzel/Doppel/Mixed;Einzel/Doppel/Mixed;Einzel/Doppel/Mixed;Einzel/Doppel/Mixed;Einzel/Doppel/Mixed;;;
11.01.2021;11.01.2021;1. C-RLT SAC U11/U17;Rangliste;1;DE;SH 117. GS, Hochschulstr. 35, Dresden;;;SAC;C2-Level;21.12.2020;https://www.turnier.de/sport/tournament?id=AB082E6C-61AE-4949-8E11-BB3DDAD36091;;ja;;Einzel/Doppel;;;Einzel/Doppel;;;;
11.01.2021;12.01.2021;1. C-RLT BAY U11-U19;Rangliste;1;DE;München;;;BAY;C1-Level;31.12.2020;https://www.turnier.de/sport/tournament?id=410FADDA-7A21-4689-971B-8EB8459683A4;;ja;;Einzel/Doppel;Einzel/Doppel;Einzel/Doppel;Einzel/Doppel;Einzel/Doppel;;;
11.01.2021;11.01.2021; E-RLT BAY Schwaben U11-U17;Rangliste;;DE;Aichach;Schwaben;;BAY;E-Level;31.12.2020;https://www.turnier.de/sport/tournament?id=6B8195BF-CF22-4AE2-AFC5-EAFEE38EDF51;;ja;;Einzel/Doppel;Einzel/Doppel;Einzel/Doppel;Einzel/Doppel;;;;
11.01.2021;12.01.2021;1. C-RLT NIS U13-U19;Rangliste;1;DE;Bahrdorf;;;NIS;C1-Level;02.01.2021;https://www.turnier.de/sport/tournament?id=6800B5EE-F0E1-4F76-A6C4-7F5246B4DE65;https://www.nbv-online.de/ausschreibung/200111-12-DBV-Jgd-CRTE-U13-U19-Bahrdorf2.pdf;nein;;;Einzel;Einzel;Einzel;Einzel;;;
