Start-Datum;End-Datum;Name;Turnierart;Ordnungsnummer;Land;Ort;Region;Offener-Turniername;Veranstalter;Kategorie;Meldeschluss;Turnier-Link;Ausschreibung-Link;Ausschreibung-PDF;AK_U9;AK_U11;AK_U13;AK_U15;AK_U17;AK_U19;AK_U22;AK_O19;AK_O35
14.10.2020;18.10.2020;"35th International Series of Brazil 2020 (Cancelled)";Rangliste;;BRA;"Foz do Iguaçu - PR";;;BWF;"International Series";;;;nein;;;;;;;;Einzel/Doppel/Mixed;
14.10.2020;17.10.2020;"FZ FORZA Ukraine Junior 2020 (Cancelled)";Rangliste;;UKR;Dnіpro;;;BWF;"Junior International Series";;;;nein;;;;;;Einzel/Doppel/Mixed;;;
16.10.2020;18.10.2020;"Croatia Valamar Junior Open 2020 (Cancelled)";Rangliste;;CRO;Dubrovnik;;;BWF;"Junior International Series";;;;nein;;;;;;Einzel/Doppel/Mixed;;;
16.10.2020;18.10.2020;"Austrian U17 International - CANCELLED";Rangliste;;NN;Mödling;;;BEC;BEC-U17;;;;nein;;;;;Einzel/Doppel/Mixed;;;;
17.10.2020;17.10.2020;" Landesmeisterschaften SAC U15/U19 (C - BVS - SEM - U15 - U19 - 2020)";Meisterschaft;;DE;"Stadthalle Zwenkau, Heinrich-Mann-Weg 16, Zwenkau";Sachsen;"C - BVS - SEM - U15 - U19 - 2020";SAC;C2-Level;03.10.2020;https://www.turnier.de/sport/tournament?id=8C975CD9-9CD7-4672-AC15-108B6DB9DF18;;ja;;;;Einzel/Doppel/Mixed;;Einzel/Doppel/Mixed;;;
17.10.2020;17.10.2020;"6. C-RLT MVP U15/U19";Rangliste;6;DE;Schwerin;;;MVP;D1-Level;03.10.2020;https://www.turnier.de/sport/tournament?id=BE9E611D-C330-47AC-B748-A76120605403;;ja;;;;Einzel;;Einzel;;;
17.10.2020;17.10.2020;"2. D-RLT SAC Regionalverband Oberlausitz U13/U17";Rangliste;2;DE;"TH Berufliches Schulzentrum, Friedrich-Fröbel-Straße, 02943 Weißwasser";"Regionalverband Oberlausitz";;SAC;D2-Level;03.10.2020;;;ja;;;Einzel;;Einzel;;;;
17.10.2020;18.10.2020;"3. D-RLT BAW NW U11-U19";Rangliste;3;DE;Aalen;NW;;BAW;D1-Level;09.10.2020;https://dbv.turnier.de/sport/tournament?id=D22AD977-5162-4BD4-ADD8-E2A4EEA927D2;;ja;;Einzel/Doppel;Einzel/Doppel;Einzel/Doppel;Einzel/Doppel;Einzel/Doppel;;;
20.10.2020;25.10.2020;"YONEX French Open 2020 (Cancelled)";Rangliste;;FRA;Paris;;;BWF;"HSBC BWF World Tour Super 750";;;;nein;;;;;;;;Einzel/Doppel/Mixed;
20.10.2020;25.10.2020;"BARFOOT & THOMPSON New Zealand Open 2020 (Cancelled)";Rangliste;;NZL;Auckland;;;BWF;"HSBC BWF World Tour Super 300";;;;nein;;;;;;;;Einzel/Doppel/Mixed;
