Start-Datum;End-Datum;Name;Turnierart;Ordnungsnummer;Land;Ort;Region;Offener-Turniername;Veranstalter;Kategorie;Meldeschluss;Turnier-Link;Ausschreibung-Link;Ausschreibung-PDF;AK_U9;AK_U11;AK_U13;AK_U15;AK_U17;AK_U19;AK_U22;AK_O19;AK_O35
19.09.2020;20.09.2020;"3. B-RLT Süd-Ost U15-U19";Rangliste;3;DE;Eggenstein-Leopoldshafen;;;GRSO;B-Level;25.08.2020;https://www.turnier.de/sport/tournament?id=C3F6A070-C85E-426A-82E2-4749DF59CF4E;;ja;;;;Einzel/Doppel/Mixed;Einzel/Doppel/Mixed;Einzel/Doppel/Mixed;;;
19.09.2020;20.09.2020;"3. B-RLT Nord U17/U19";Rangliste;3;DE;"Bützow (MVP)";;;GRN;B-Level;25.08.2020;;https://cloud.badminton.de/index.php/s/vshMHDZZFrnuPjR;nein;;;;;Einzel/Doppel/Mixed;Einzel/Doppel/Mixed;;;
03.10.2020;03.10.2020;"2. B-RLT Süd-Ost U13";Rangliste;2;DE;Konstanz;;;GRSO;B-Level;;https://www.turnier.de/sport/tournament?id=C7F28B98-0B1C-4B39-B6C7-EC6ED9D8087C;;ja;;;Einzel/Doppel;;;;;;
03.10.2020;04.10.2020;"4. A-RLT U17/U19";Rangliste;4;DE;"Maintal +++ wegen Corona-Krise ABGESAGT +++";;;DBV;A-Level;;;;nein;;;;;Einzel/Doppel/Mixed;Einzel/Doppel/Mixed;;;
10.10.2020;11.10.2020;"11. A-RLT U11/U13 (Babolat Refrath Cup)";Rangliste;11;DE;"Bergisch Gladbach (Refrath)";;"Babolat Refrath Cup";DBV;A-Level;15.09.2020;https://dbv.turnier.de/sport/tournament?id=3248ACE2-6524-4817-8631-69019FE67DBC;;ja;;Einzel/Doppel;Einzel/Doppel/Mixed;;;;;;
11.10.2020;11.10.2020;"1. A-RLT U13/U19 (Test)";Rangliste;1;DE;Neuendettelsau;Test;Test;DBV;A-Level;01.01.2020;;;nein;;;Doppel;;;Mixed;;;
24.10.2020;25.10.2020;" Südwestdeutsche Meisterschaften U13-U19";Meisterschaft;;DE;"Hechtsheim, RHP";;;GRM;B-Level;10.10.2020;;;nein;;;Einzel/Doppel/Mixed;Einzel/Doppel/Mixed;Einzel/Doppel/Mixed;Einzel/Doppel/Mixed;;;
24.10.2020;25.10.2020;" Westdeutsche Meisterschaften U13-U19";Meisterschaft;;DE;Mülheim;West;;GRW;B-Level;;;;nein;;;Einzel/Doppel/Mixed;Einzel/Doppel/Mixed;Einzel/Doppel/Mixed;Einzel/Doppel/Mixed;;;
24.10.2020;25.10.2020;" Südostdeutsche Meisterschaften U13-U19";Meisterschaft;;DE;Augsburg;;;GRSO;B-Level;;;;nein;;;Einzel/Doppel/Mixed;Einzel/Doppel/Mixed;Einzel/Doppel/Mixed;Einzel/Doppel/Mixed;;;
30.10.2020;01.11.2020;" Norddeutsche Meisterschaften U13-U19";Meisterschaft;;DE;"Preetz (SLH)";;;GRN;B-Level;;;;nein;;;Einzel/Doppel/Mixed;Einzel/Doppel/Mixed;Einzel/Doppel/Mixed;Einzel/Doppel/Mixed;;;
13.11.2020;15.11.2020;"4. A-RLT O19";Rangliste;4;DE;Baruth/Mark;;;DBV;A-Level;14.10.2020;;https://www.badminton.de/der-dbv/ausschreibungen/;ja;;;;;;;;Einzel/Doppel/Mixed;
14.11.2020;15.11.2020;"3. B-RLT Süd-Ost U13";Rangliste;3;DE;Ochsenfurt;;;GRSO;B-Level;;;;nein;;;Einzel/Doppel/Mixed;;;;;;
21.11.2020;22.11.2020;" Deutsche Meisterschaften U13";Meisterschaft;;DE;Oststeinbek;;;DBV;A-Level;;;;nein;;;Einzel/Doppel/Mixed;;;;;;
27.11.2020;29.11.2020;" Deutsche Meisterschaften U15-U19";Meisterschaft;;DE;Dortelweil;;;DBV;A-Level;;;;nein;;;;Einzel/Doppel/Mixed;Einzel/Doppel/Mixed;Einzel/Doppel/Mixed;;;
05.12.2020;06.12.2020;" German Masters U11";Meisterschaft;;DE;nn;;;DBV;A-Level;;;;nein;;Einzel/Doppel;;;;;;;
